name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xw1_pd2_3_inv,Xw1_pd2_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.64000000000001,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xw1_pd2_4_inv,Xw1_pd2_4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,67.76000000000002,3.92,2.24,3.92,N,bottom_ctrl_0
Xw1_pd2_5_inv,Xw1_pd2_5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,67.76000000000002,7.84,2.24,3.92,FS,bottom_ctrl_1
Xw1_pd2_6_inv,Xw1_pd2_6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,11.76,2.24,3.92,N,bottom_ctrl_2
Xw1_pd2_7_inv,Xw1_pd2_7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr0_a0_inv,Xr0_a0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,19.6,2.24,3.92,N,bottom_ctrl_4
Xr0_a1_inv,Xr0_a1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr0_a2_inv,Xr0_a2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr0_a3_inv,Xr0_a3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr0_a4_inv,Xr0_a4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr0_a5_inv,Xr0_a5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,606.28,2.24,3.92,N,top_ctrl_2
Xr0_a6_inv,Xr0_a6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.32000000000001,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr0_a7_inv,Xr0_a7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,68.88000000000001,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xr0_a8_inv,Xr0_a8_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.00000000000001,3.92,2.24,3.92,N,bottom_ctrl_0
