name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr0_bit31_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,31,1,1,562.39,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit00_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,0,0,0,575.44,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit02_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,2,0,0,601.545,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit04_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,4,0,0,627.65,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit06_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,6,0,0,653.75,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit08_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,8,0,0,679.855,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit10_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,10,0,0,705.96,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit12_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,12,0,0,732.065,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit14_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,14,0,0,758.165,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit16_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,16,0,0,784.27,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
