net,endpoints,track_x_um,has_macro_pin,has_row_select_sink,shapes
w0_pd2_8,17,157.95,false,true,120
w0_pd2_8_n,2,157.95,false,false,15
w0_pd2_9,17,158.63,false,true,120
w0_pd2_9_n,2,158.63,false,false,15
w1_a0_n,3,159.31,false,false,22
w1_a1_n,3,159.99,false,false,22
w1_a2_n,3,160.67,false,false,22
w1_a3_n,3,161.35,false,false,22
w1_a4_n,3,162.03,false,false,22
w1_a5_n,3,162.71,false,false,22
w1_a6_n,9,163.39,false,false,64
w1_a7_n,9,164.07,false,false,64
w1_a8_n,9,164.75,false,false,64
w1_a9_n,9,165.43,false,false,64
w1_addr[0],6,166.11,true,false,45
w1_addr[1],6,166.79,true,false,45
w1_addr[2],6,167.47,true,false,45
w1_addr[3],6,168.15,true,false,45
w1_addr[4],6,168.83,true,false,45
w1_addr[5],6,169.51,true,false,45
w1_addr[6],12,170.19,true,false,87
w1_addr[7],12,170.87,true,false,87
w1_addr[8],12,171.55,true,false,87
w1_addr[9],12,172.23,true,false,87
w1_en,258,60.72,true,true,1809
w1_grp0_n,2,172.91,false,false,15
w1_grp1_n,2,173.59,false,false,15
w1_grp2_n,2,174.27,false,false,15
w1_grp3_n,2,174.95,false,false,15
w1_pd0_0,65,55.0,false,true,456
w1_pd0_0_n,2,175.63,false,false,15
w1_pd0_1,65,55.2,false,true,456
w1_pd0_1_n,2,176.31,false,false,15
w1_pd0_2,65,55.4,false,true,456
w1_pd0_2_n,2,176.99,false,false,15
w1_pd0_3,65,55.6,false,true,456
w1_pd0_3_n,2,177.67,false,false,15
w1_pd1_0,65,56.72,false,true,456
w1_pd1_0_n,2,178.35,false,false,15
w1_pd1_1,65,56.92,false,true,456
w1_pd1_1_n,2,179.03,false,false,15
w1_pd1_2,65,57.12,false,true,456
w1_pd1_2_n,2,179.71,false,false,15
w1_pd1_3,65,57.32,false,true,456
w1_pd1_3_n,2,180.39,false,false,15
w1_pd2_0,17,58.48,false,true,120
w1_pd2_0_n,2,181.07,false,false,15
w1_pd2_1,17,58.68,false,true,120
w1_pd2_10,17,181.75,false,true,120
w1_pd2_10_n,2,181.75,false,false,15
w1_pd2_11,17,182.43,false,true,120
w1_pd2_11_n,2,182.43,false,false,15
w1_pd2_12,17,183.11,false,true,120
w1_pd2_12_n,2,183.11,false,false,15
w1_pd2_13,17,183.79,false,true,120
