name,original_name,role,cell,port,row_index,x_um,y_um,width_um,height_um,orient
Xw0_row0015_sel_buf1,Xw0_row0015_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,15,26.64,105.105,2.24,3.92,N
Xw0_row0015_sel_buf2,Xw0_row0015_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,15,28.88,105.105,2.24,3.92,N
Xw0_row0016_sel_nand4,Xw0_row0016_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,16,16.56,109.435,7.84,3.92,N
Xw0_row0016_sel_buf0,Xw0_row0016_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,16,24.4,109.435,2.24,3.92,N
Xw0_row0016_sel_buf1,Xw0_row0016_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,16,26.64,109.435,2.24,3.92,N
Xw0_row0016_sel_buf2,Xw0_row0016_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,16,28.88,109.435,2.24,3.92,N
Xw0_row0017_sel_nand4,Xw0_row0017_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,17,16.56,113.76,7.84,3.92,N
Xw0_row0017_sel_buf0,Xw0_row0017_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,17,24.4,113.76,2.24,3.92,N
Xw0_row0017_sel_buf1,Xw0_row0017_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,17,26.64,113.76,2.24,3.92,N
Xw0_row0017_sel_buf2,Xw0_row0017_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,17,28.88,113.76,2.24,3.92,N
Xw0_row0018_sel_nand4,Xw0_row0018_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,18,16.56,118.085,7.84,3.92,N
Xw0_row0018_sel_buf0,Xw0_row0018_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,18,24.4,118.085,2.24,3.92,N
Xw0_row0018_sel_buf1,Xw0_row0018_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,18,26.64,118.085,2.24,3.92,N
Xw0_row0018_sel_buf2,Xw0_row0018_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,18,28.88,118.085,2.24,3.92,N
Xw0_row0019_sel_nand4,Xw0_row0019_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,19,16.56,122.415,7.84,3.92,N
Xw0_row0019_sel_buf0,Xw0_row0019_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,19,24.4,122.415,2.24,3.92,N
Xw0_row0019_sel_buf1,Xw0_row0019_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,19,26.64,122.415,2.24,3.92,N
Xw0_row0019_sel_buf2,Xw0_row0019_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,19,28.88,122.415,2.24,3.92,N
Xw0_row0020_sel_nand4,Xw0_row0020_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,20,16.56,126.74,7.84,3.92,N
Xw0_row0020_sel_buf0,Xw0_row0020_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,20,24.4,126.74,2.24,3.92,N
Xw0_row0020_sel_buf1,Xw0_row0020_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,20,26.64,126.74,2.24,3.92,N
Xw0_row0020_sel_buf2,Xw0_row0020_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,20,28.88,126.74,2.24,3.92,N
Xw0_row0021_sel_nand4,Xw0_row0021_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,21,16.56,131.07,7.84,3.92,N
Xw0_row0021_sel_buf0,Xw0_row0021_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,21,24.4,131.07,2.24,3.92,N
Xw0_row0021_sel_buf1,Xw0_row0021_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,21,26.64,131.07,2.24,3.92,N
Xw0_row0021_sel_buf2,Xw0_row0021_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,21,28.88,131.07,2.24,3.92,N
Xw0_row0022_sel_nand4,Xw0_row0022_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,22,16.56,135.395,7.84,3.92,N
Xw0_row0022_sel_buf0,Xw0_row0022_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,22,24.4,135.395,2.24,3.92,N
Xw0_row0022_sel_buf1,Xw0_row0022_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,22,26.64,135.395,2.24,3.92,N
Xw0_row0022_sel_buf2,Xw0_row0022_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,22,28.88,135.395,2.24,3.92,N
Xw0_row0023_sel_nand4,Xw0_row0023_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,23,16.56,139.72,7.84,3.92,N
Xw0_row0023_sel_buf0,Xw0_row0023_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,23,24.4,139.72,2.24,3.92,N
Xw0_row0023_sel_buf1,Xw0_row0023_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,23,26.64,139.72,2.24,3.92,N
Xw0_row0023_sel_buf2,Xw0_row0023_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,23,28.88,139.72,2.24,3.92,N
Xw0_row0024_sel_nand4,Xw0_row0024_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,24,16.56,144.05,7.84,3.92,N
Xw0_row0024_sel_buf0,Xw0_row0024_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,24,24.4,144.05,2.24,3.92,N
Xw0_row0024_sel_buf1,Xw0_row0024_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,24,26.64,144.05,2.24,3.92,N
Xw0_row0024_sel_buf2,Xw0_row0024_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,24,28.88,144.05,2.24,3.92,N
Xw0_row0025_sel_nand4,Xw0_row0025_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,25,16.56,148.375,7.84,3.92,N
Xw0_row0025_sel_buf0,Xw0_row0025_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,25,24.4,148.375,2.24,3.92,N
Xw0_row0025_sel_buf1,Xw0_row0025_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,25,26.64,148.375,2.24,3.92,N
Xw0_row0025_sel_buf2,Xw0_row0025_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,25,28.88,148.375,2.24,3.92,N
Xw0_row0026_sel_nand4,Xw0_row0026_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,26,16.56,152.7,7.84,3.92,N
Xw0_row0026_sel_buf0,Xw0_row0026_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,26,24.4,152.7,2.24,3.92,N
Xw0_row0026_sel_buf1,Xw0_row0026_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,26,26.64,152.7,2.24,3.92,N
Xw0_row0026_sel_buf2,Xw0_row0026_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,26,28.88,152.7,2.24,3.92,N
Xw0_row0027_sel_nand4,Xw0_row0027_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,27,16.56,157.03,7.84,3.92,N
Xw0_row0027_sel_buf0,Xw0_row0027_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,27,24.4,157.03,2.24,3.92,N
Xw0_row0027_sel_buf1,Xw0_row0027_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,27,26.64,157.03,2.24,3.92,N
Xw0_row0027_sel_buf2,Xw0_row0027_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,27,28.88,157.03,2.24,3.92,N
Xw0_row0028_sel_nand4,Xw0_row0028_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,28,16.56,161.355,7.84,3.92,N
Xw0_row0028_sel_buf0,Xw0_row0028_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,28,24.4,161.355,2.24,3.92,N
Xw0_row0028_sel_buf1,Xw0_row0028_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,28,26.64,161.355,2.24,3.92,N
Xw0_row0028_sel_buf2,Xw0_row0028_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,28,28.88,161.355,2.24,3.92,N
Xw0_row0029_sel_nand4,Xw0_row0029_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,29,16.56,165.685,7.84,3.92,N
Xw0_row0029_sel_buf0,Xw0_row0029_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,29,24.4,165.685,2.24,3.92,N
Xw0_row0029_sel_buf1,Xw0_row0029_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,29,26.64,165.685,2.24,3.92,N
Xw0_row0029_sel_buf2,Xw0_row0029_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,29,28.88,165.685,2.24,3.92,N
Xw0_row0030_sel_nand4,Xw0_row0030_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,30,16.56,170.01,7.84,3.92,N
Xw0_row0030_sel_buf0,Xw0_row0030_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,30,24.4,170.01,2.24,3.92,N
Xw0_row0030_sel_buf1,Xw0_row0030_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,30,26.64,170.01,2.24,3.92,N
Xw0_row0030_sel_buf2,Xw0_row0030_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,30,28.88,170.01,2.24,3.92,N
Xw0_row0031_sel_nand4,Xw0_row0031_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,31,16.56,174.335,7.84,3.92,N
Xw0_row0031_sel_buf0,Xw0_row0031_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,31,24.4,174.335,2.24,3.92,N
Xw0_row0031_sel_buf1,Xw0_row0031_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,31,26.64,174.335,2.24,3.92,N
Xw0_row0031_sel_buf2,Xw0_row0031_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,31,28.88,174.335,2.24,3.92,N
Xw0_row0032_sel_nand4,Xw0_row0032_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,32,16.56,178.665,7.84,3.92,N
Xw0_row0032_sel_buf0,Xw0_row0032_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,32,24.4,178.665,2.24,3.92,N
Xw0_row0032_sel_buf1,Xw0_row0032_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,32,26.64,178.665,2.24,3.92,N
Xw0_row0032_sel_buf2,Xw0_row0032_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,32,28.88,178.665,2.24,3.92,N
Xw0_row0033_sel_nand4,Xw0_row0033_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,33,16.56,182.99,7.84,3.92,N
Xw0_row0033_sel_buf0,Xw0_row0033_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,33,24.4,182.99,2.24,3.92,N
Xw0_row0033_sel_buf1,Xw0_row0033_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,33,26.64,182.99,2.24,3.92,N
Xw0_row0033_sel_buf2,Xw0_row0033_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,33,28.88,182.99,2.24,3.92,N
Xw0_row0034_sel_nand4,Xw0_row0034_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,34,16.56,187.315,7.84,3.92,N
Xw0_row0034_sel_buf0,Xw0_row0034_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,34,24.4,187.315,2.24,3.92,N
Xw0_row0034_sel_buf1,Xw0_row0034_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,34,26.64,187.315,2.24,3.92,N
Xw0_row0034_sel_buf2,Xw0_row0034_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,34,28.88,187.315,2.24,3.92,N
Xw0_row0035_sel_nand4,Xw0_row0035_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,35,16.56,191.645,7.84,3.92,N
Xw0_row0035_sel_buf0,Xw0_row0035_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,35,24.4,191.645,2.24,3.92,N
